排名,英文姓名,中文姓名,财富（十亿美元）,行业,国籍,x,y
504,James Leprino,詹姆斯·勒普林诺,4,奶酪,美国,45.04,40.07
504,Marianne Liebmann,玛丽安·里布曼,4,嘉吉,美国,45.04,40.07
504,Igor Olenicoff,伊戈尔·奥伦尼科夫,4,房地产,美国,45.04,40.07
504,Jerry Speyer,杰里·斯派尔,4,房地产,美国,45.04,40.07
504,Fang Wei,方威,4,钢铁,中国内地,104.2,35.86
504,Huang Rulun,黄如论,4,房地产,中国内地,104.2,35.86
504,Rita Tong Liu,廖汤慧霭,4,房地产,中国香港,114.11,22.4
504,Anthony Bamford,安东尼·班福德,4,建筑施工设备,英国,-3.44,55.38
504,Andrew Currie,安德鲁·加里,4,化工,英国,-3.44,55.38
504,John Reece,约翰·里斯,4,化工,英国,-3.44,55.38
504,Dan Olsson,丹·奥尔森,4,多元化经营,瑞典,18.64,60.13
504,Denis O’Brien,丹尼斯·奥布赖恩,4,电信,爱尔兰,-8.24,53.41
504,Kapil & Rahul Bhatia,卡皮尔·巴蒂亚和拉胡尔·巴蒂亚,4,航空公司,印度,78.96,20.59
504,Sudhir & Samir Mehta,苏迪尔·梅塔和萨米尔·梅塔,4,多元化经营,印度,78.96,20.59
504,John Gandel,约翰·甘德尔,4,购物中心,澳大利亚,133.78,25.27
504,Ben Ashkenazy,本·阿什肯纳齐,4,房地产,美国,45.04,40.07
504,Bert Beveridge,伯特·贝弗里奇,4,伏特加,美国,45.04,40.07
504,Neil Bluhm,尼尔·布卢姆,4,房地产,美国,45.04,40.07
504,Austen Cargill II,奥斯汀·卡吉尔二世,4,嘉吉,美国,45.04,40.07
504,James Cargill II,詹姆斯·卡吉尔二世,4,嘉吉,美国,45.04,40.07
504,Rick Caruso,瑞克·卡鲁索,4,房地产,美国,45.04,40.07
504,Jack Dangermond,杰克·丹杰蒙德,4,地图软件,美国,45.04,40.07
504,Dan Friedkin,丹·弗莱德金,4,丰田销售店,美国,45.04,40.07
529,John Brown,约翰·布朗,3.9,医疗设备,美国,45.04,40.07
529,Ronald Lauder,罗纳德·劳德,3.9,雅诗兰黛,美国,45.04,40.07
529,Gabe Newell,加布·纽厄尔,3.9,视频游戏,美国,45.04,40.07
529,Harry Stine,哈里·斯泰恩,3.9,农产业,美国,45.04,40.07
529,Steven Udvar-Hazy,史蒂文·伍得瓦-赫兹,3.9,航空器租赁,美国,45.04,40.07
529,Liang Wengen,梁稳根,3.9,建筑施工设备,中国内地,104.2,35.86
529,Lin Li,林立,3.9,投资,中国内地,104.2,35.86
529,Wang Wenxue,王文学,3.9,房地产,中国内地,104.2,35.86
529,Samuel Tak Lee,李德义,3.9,房地产,中国香港,114.11,22.4
529,Lin Shu-Hong,林书鸿,3.9,石化,中国台湾,120.96,23.7
529,Fredrik Lundberg,弗雷德里克·伦德伯格,3.9,"房地产,投资",瑞典,18.64,60.13
529,Tony Tan Caktiong,陈觉中,3.9,食品,菲律宾,121.77,12.88
529,Yitzhak Tshuva,伊扎克·特苏瓦,3.9,房地产,以色列,34.85,31.05
529,Ashwin Dani,阿什温·达尼,3.9,涂料,印度,78.96,20.59
529,Ravi Pillai,拉维·皮莱,3.9,建筑施工,印度,78.96,20.59
529,Hubert Burda,赫伯特·博达,3.9,出版,德国,10.45,51.17
529,Friede Springer,弗里德·斯普林格,3.9,出版,德国,10.45,51.17
546,Roger Wang,王恒,3.8,零售,美国,45.04,40.07
546,Wei Jianjun,魏建军,3.8,汽车,中国内地,104.2,35.86
546,Yao Liangsong,姚良松,3.8,家具,中国内地,104.2,35.86
546,Ronald McAulay,罗纳德·麦高利,3.8,能源,中国香港,114.11,22.4
546,Barry Lam,林百里,3.8,电子,中国台湾,120.96,23.7
546,Juan Carlos Escotet,胡安·卡洛斯·埃斯科泰,3.8,银行业,委内瑞拉,-66.59,6.42
546,Erman Ilicak,穆拉特·乌尔卡,3.8,建筑施工,土耳其,35.24,38.96
546,Gustaf Douglas,古斯塔夫·道格拉斯,3.8,投资,瑞典,18.64,60.13
546,Viatcheslav Kantor,伊戈尔·阿图辛,3.8,"化肥,房地产",俄罗斯,105.32,61.52
546,Teddy Sagi,泰迪·萨吉,3.8,博彩软件,以色列,34.85,31.05
546,Giuseppe De’Longhi,朱塞佩·德龙,3.8,咖啡机,意大利,12.57,41.87
546,Anil Agarwal,阿尼尔·阿加瓦尔,3.8,"矿业,金属",印度,78.96,20.59
546,Julio Ponce Lerou,胡利奥·庞塞·勒鲁,3.8,化肥,智利,-71.54,-35.68
546,Archie Aldis Emmerson,阿尔奇·奥尔迪斯·伊莫森,3.8,"林地,木材厂",美国,45.04,40.07
546,Jensen Huang,黄仁勋,3.8,半导体,美国,45.04,40.07
546,H. Fisk Johnson,H·菲斯克·约翰逊,3.8,清洁产品,美国,45.04,40.07
546,S. Curtis Johnson,S·柯蒂斯·约翰逊,3.8,清洁产品,美国,45.04,40.07
546,Helen Johnson-Leipold,海伦·约翰逊-雷波德,3.8,清洁产品,美国,45.04,40.07
546,Winifred Johnson-Marquart,温弗雷德·约翰逊-马奎特,3.8,清洁产品,美国,45.04,40.07
546,Janice McNair,贞尼斯·麦克奈尔,3.8,"能源,体育",美国,45.04,40.07
546,Henry Nicholas III,亨利·尼古拉斯三世,3.8,半导体,美国,45.04,40.07
546,Ira Rennert,艾拉·雷纳特,3.8,投资,美国,45.04,40.07
568,Nathan Blecharczyk,那森·布莱卡斯亚克,3.7,爱彼迎,美国,45.04,40.07
568,Brian Chesky,布莱恩·切斯基,3.7,爱彼迎,美国,45.04,40.07
568,Barry Diller,巴里·迪勒,3.7,在线媒体,美国,45.04,40.07
568,Joe Gebbia,乔·吉比亚,3.7,爱彼迎,美国,45.04,40.07
568,Douglas Leone,道格拉斯·莱昂内,3.7,创投,美国,45.04,40.07
568,Richard Schulze,理查德·舒尔茨,3.7,百思买,美国,45.04,40.07
568,Steven Spielberg,史蒂文·斯皮尔伯格,3.7,电影,美国,45.04,40.07
568,Lai Meisong,赖梅松,3.7,快递,中国内地,104.2,35.86
568,Pan Zhengmin,潘政民,3.7,电子,中国内地,104.2,35.86
568,Zhou Jianping,周建平,3.7,时尚零售,中国内地,104.2,35.86
568,Li Wa,李华,3.7,房地产,中国香港,114.11,22.4
568,Murat Ulker,穆拉特·乌尔卡,3.7,食品,土耳其,35.24,38.96
568,Suh Kyung-Bae,徐庆培,3.7,化妆品,韩国,127.98,37.66
568,Mikhail Gutseriev,安德烈·古里厄夫,3.7,"石油,房地产",俄罗斯,105.32,61.52
568,Samvel Karapetyan,山姆威尔·卡拉佩特延,3.7,房地产,俄罗斯,105.32,61.52
568,Andreas Halvorsen,安德里亚斯·哈尔沃森,3.7,对冲基金,挪威,8.47,60.47
568,Chairul Tanjung,凯鲁·丹绒,3.7,多元化经营,印尼,113.92,-0.79
568,Traudl Engelhorn,特劳德尔·恩格尔霍恩,3.7,"制药,医疗设备",德国,10.45,51.17
568,Erwin Franz Mueller,欧文·弗朗茨·穆勒,3.7,药店,德国,10.45,51.17
568,Theo Mueller,西奥·穆勒,3.7,奶业,德国,10.45,51.17
568,Wolfgang Reimann,沃尔夫冈·赖曼,3.7,消费品,德国,10.45,51.17
568,Matthias Reimann-Andersen,马提亚斯·赖曼·安德森,3.7,消费品,德国,10.45,51.17
568,Stefan Reimann-Andersen,斯蒂芬·赖曼·安德森,3.7,消费品,德国,10.45,51.17
568,Renate Reimann-Haas,雷娜特·赖曼-哈斯,3.7,消费品,德国,10.45,51.17
568,Martin & Olivier Bouygues,马丁·布伊格和奥利佛·布伊格,3.7,"建筑施工,媒体",法国,2.21,46.23
568,Yakir Gabay,亚基尔·加巴伊,3.7,房地产,塞浦路斯,33.43,35.13
568,Alain Bouchard,阿兰·布夏尔,3.7,零售,加拿大,-106.35,56.13
568,Issad Rebrab,艾萨德·里布拉布,3.7,食品,阿尔及利亚,1.66,28.03
568,Miguel Fluxa Rossello,米格尔·弗露克西亚·若赛罗,3.7,酒店,西班牙,-3.75,40.46
597,Brian Acton,布莱恩·阿克顿,3.6,WhatsApp,美国,45.04,40.07
597,Judy Faulkner,朱迪·福克纳,3.6,医疗IT,美国,45.04,40.07
597,Lin Bin,林斌,3.6,智能手机,美国,45.04,40.07
597,Michael Milken,迈克尔·米尔肯,3.6,投资,美国,45.04,40.07
597,Bernard Saul II,伯纳德·索尔二世,3.6,"银行业,房地产",美国,45.04,40.07
597,Donald Sterling,唐纳德·斯特林,3.6,房地产,美国,45.04,40.07
597,Qiu Guanghe,邱光和,3.6,时尚零售,中国内地,104.2,35.86
597,Zhang Xin & Pan Shiyi,张欣 & 潘石屹,3.6,房地产,中国内地,104.2,35.86
597,Peter Hargreaves,彼得·哈格里夫斯,3.6,金融服务,英国,-3.44,55.38
597,Oleg Deripaska,米哈伊尔·古瑟里夫,3.6,"铝,公用事业",俄罗斯,105.32,61.52
597,Yuri Milner,山姆威尔·卡拉佩特延,3.6,技术投资,俄罗斯,105.32,61.52
597,Masahiro Miki,三木正浩,3.6,鞋业,日本,138.25,36.2
597,Hasmukh Chudgar,哈斯穆克·丘德加,3.6,制药,印度,78.96,20.59
597,Pankaj Patel,潘卡·帕特尔,3.6,制药,印度,78.96,20.59
597,Hans Georg Naeder,汉斯·乔治·纳德,3.6,假肢,德国,10.45,51.17
597,Jaime Gilinski Bacal,杰米·吉林斯基·巴卡尔,3.6,银行业,哥伦比亚,-74.3,4.57
597,Chip Wilson,奇普·威尔逊,3.6,Lululemon,加拿大,-106.35,56.13
597,James Packer,詹姆斯·帕克,3.6,博彩,澳大利亚,133.78,25.27
597,Mitchell Rales,米切尔·雷尔斯,3.6,"制造,投资",美国,45.04,40.07
597,Rafael Del Pinoy Calvo-Sotelo,拉斐尔·德皮诺·卡尔沃-索特洛,3.6,建筑施工,西班牙,-3.75,40.46
617,Ursula Bechtolsheimer-Kipp,乌苏拉·贝克托什梅尔-基普,3.5,零售,德国,10.45,51.17
617,Ralph Dommermuth,拉尔夫·多摩莫斯,3.5,互联网服务提供商,德国,10.45,51.17
617,Andrej Babis,安德烈·巴比斯,3.5,农产业,捷克共和国,15.47,49.82
617,Radovan Vitek,拉多万·维特克,3.5,房地产,捷克共和国,15.47,49.82
617,Lindsay Fox,林赛·福克斯,3.5,"物流,房地产",澳大利亚,133.78,25.27
617,Scott Cook,斯科特·库克,3.5,软件,美国,45.04,40.07
617,Ken Fisher,肯·费舍尔,3.5,资金管理,美国,45.04,40.07
617,Tom Golisano,汤姆·格里萨诺,3.5,工资服务,美国,45.04,40.07
617,Joshua Harris,约书亚·哈里斯,3.5,私募股权,美国,45.04,40.07
617,Edward Johnson IV,爱德华·约翰逊四世,3.5,资金管理,美国,45.04,40.07
617,Elizabeth Johnson,伊丽莎白·约翰逊,3.5,资金管理,美国,45.04,40.07
617,Min Kao,高民环,3.5,导航设备,美国,45.04,40.07
617,Li Ge,李革,3.5,生物技术,美国,45.04,40.07
617,Daniel Och,丹尼尔·奥奇,3.5,对冲基金,美国,45.04,40.07
617,Howard Schultz,霍华德·舒尔兹,3.5,星巴克,美国,45.04,40.07
617,Chu Mang Yee,朱孟依,3.5,房地产,中国内地,104.2,35.86
617,Lu Zhiqiang,卢志强,3.5,房地产,中国内地,104.2,35.86
617,Nie Tengyun,聂腾云,3.5,物流,中国内地,104.2,35.86
617,Philip & Cristina Green,菲利普·格林和克里斯蒂娜·格林,3.5,时尚零售,英国,-3.44,55.38
617,Martin Haefner,马丁·海夫纳,3.5,"软件,投资",瑞士,8.23,46.82
617,Sergei Galitsky,奥列格·德里帕斯卡,3.5,零售,俄罗斯,105.32,61.52
617,Zarakh Iliev,尤里·米尔纳,3.5,房地产,俄罗斯,105.32,61.52
617,God Nisanov,谢尔盖·加利茨基,3.5,房地产,俄罗斯,105.32,61.52
617,Akio Nitori,似鸟昭雄,3.5,家用装饰,日本,138.25,36.2
617,Shaul Shani,沙乌勒·沙尼,3.5,电信,以色列,34.85,31.05
617,Prajogo Pangestu,彭云鹏,3.5,石化,印尼,113.92,-0.79
617,Kiran Mazumdar-Shaw,基兰·玛朱姆达-肖,3.5,生物技术,印度,78.96,20.59
617,Pawan Munjal,帕万·穆贾尔,3.5,摩托车,印度,78.96,20.59
645,Charles Cohen,查尔斯·科恩,3.4,房地产,美国,45.04,40.07
645,Jeff Greene,杰弗·格林,3.4,"房地产,投资",美国,45.04,40.07
645,Peter Kellogg,彼得·凯洛格,3.4,投资,美国,45.04,40.07
645,Ken Langone,肯·朗格尼,3.4,投资,美国,45.04,40.07
645,Rodger Riney,罗杰·莱尼,3.4,折扣经纪,美国,45.04,40.07
645,Alejandro Santo Domingo,亚历杭德罗·桑托·多明戈,3.4,啤酒,美国,45.04,40.07
645,Andres Santo Domingo,安德烈斯·桑托·多明戈,3.4,啤酒,美国,45.04,40.07
645,Herb Simon,赫伯·西蒙,3.4,房地产,美国,45.04,40.07
645,Jon Stryker,乔恩·斯瑞克,3.4,医疗设备,美国,45.04,40.07
645,Meg Whitman,梅格·惠特曼,3.4,eBay,美国,45.04,40.07
645,Ding Shijia,丁世家,3.4,运动服饰,中国内地,104.2,35.86
645,Ding Shizhong,丁世忠,3.4,运动服饰,中国内地,104.2,35.86
645,Jason Jiang,江南春,3.4,广告,中国内地,104.2,35.86
645,Zhang Li,张力,3.4,房地产,中国内地,104.2,35.86
645,Arne Wilhelmsen,阿恩·威廉森,3.4,邮轮,挪威,8.47,60.47
645,Lau Cho Kun,刘子君,3.4,"棕榈油,房地产",马来西亚,101.98,4.21
645,Bulat Utemuratov,布拉特·乌泰穆拉托夫,3.4,"矿业,银行业,酒店",哈萨克斯坦,66.92,48.02
645,Arnon Milchan,阿农·米尔坎,3.4,电影制作,以色列,34.85,31.05
645,Murali Divi,穆拉利·迪维,3.4,制药,印度,78.96,20.59
645,Katharina Otto-Bernstein,卡瑟丽娜·奥托-本斯坦,3.4,房地产,德国,10.45,51.17
645,Jose Joao Abdalla Filho,胡塞·若奥·阿布达拉·菲尔霍,3.4,投资,巴西,-51.93,-14.24
645,Vivek Chaand Sehgal,维维克·昌德·赛加尔,3.4,汽车零部件,澳大利亚,133.78,25.27
667,Prasert Prasarttong-Osoth,普拉瑟特·普拉萨通-奥索斯,3.3,医院,泰国,100.99,15.87
667,Martin Ebner,马丁·艾博内,3.3,投资,瑞士,8.23,46.82
667,Michael Pieper,迈克尔·皮珀,3.3,厨具,瑞士,8.23,46.82
667,Daniela Herz,丹妮拉·赫茨,3.3,咖啡,德国,10.45,51.17
667,Guenter Herz,冈特·赫茨,3.3,咖啡,德国,10.45,51.17
667,Maria-Elisabeth Schaeffler-Thumann,玛丽亚-伊丽莎白·舍弗勒-图曼,3.3,汽车零部件,德国,10.45,51.17
667,Nicolas Puech,尼古拉斯·皮埃什,3.3,爱马仕,法国,2.21,46.23
667,Arthur Irving,亚瑟·欧文,3.3,石油,加拿大,-106.35,56.13
667,John Arnold,约翰·阿诺德,3.3,对冲基金,美国,45.04,40.07
667,David Bonderman,大卫·邦德曼,3.3,私募股权,美国,45.04,40.07
667,Allan Goldman,阿兰·戈德曼,3.3,房地产,美国,45.04,40.07
667,Jane Goldman,简·戈德曼,3.3,房地产,美国,45.04,40.07
667,Amy Goldman Fowler,埃米·戈德曼·福勒,3.3,房地产,美国,45.04,40.07
667,Amos Hostetter Jr.,小阿莫斯·霍斯泰特,3.3,有线电视,美国,45.04,40.07
667,Diane Kemper,戴安·坎珀尔,3.3,房地产,美国,45.04,40.07
667,Joe Mansueto,乔·曼索托,3.3,投资研究,美国,45.04,40.07
667,Michael Moritz,迈克尔·莫里茨,3.3,创投,美国,45.04,40.07
667,Jay Paul,杰伊·保罗,3.3,房地产,美国,45.04,40.07
667,Anthony Pritzker,安东尼·普利兹克,3.3,"酒店,投资",美国,45.04,40.07
667,Romesh T. Wadhwani,罗密什·T·瓦德哈尼,3.3,软件,美国,45.04,40.07
667,Huang Shilin,黄世霖,3.3,电池,中国内地,104.2,35.86
667,Zhang Hongwei,张宏伟,3.3,"石油,银行业",中国内地,104.2,35.86
667,Pollyanna Chu,朱李月华,3.3,金融服务,中国香港,114.11,22.4
667,Vanich Chaiyawan,侯业顺,3.3,"保险,饮料",泰国,100.99,15.87
691,Sid Bass,锡德·巴斯,3.2,"石油,投资",美国,45.04,40.07
691,Ernest Garcia II,厄内斯特·加西亚二世,3.2,二手车,美国,45.04,40.07
691,Jane Lauder,简·劳德,3.2,雅诗兰黛,美国,45.04,40.07
691,Vincent McMahon,文森特·麦克曼,3.2,娱乐,美国,45.04,40.07
691,J.B. Pritzker,J.B.普利兹克,3.2,"酒店,投资",美国,45.04,40.07
691,Lynn Schusterman,林恩·舒斯特曼,3.2,"油气,",美国,45.04,40.07
691,Mark Shoen,马克·舒恩,3.2,U-Haul,美国,45.04,40.07
691,Paul Singer,保罗·辛格,3.2,对冲基金,美国,45.04,40.07
691,Cao Longxiang,曹龙祥,3.2,制药,中国内地,104.2,35.86
691,Liu Zhongtian,刘忠田,3.2,铝制品,中国内地,104.2,35.86
691,Lu Zhongfang,鲁忠芳,3.2,教育培训,中国内地,104.2,35.86
691,Yu Yong,于泳,3.2,矿业,中国内地,104.2,35.86
691,John Coates,约翰·科茨,3.2,在线博彩,英国,-3.44,55.38
691,Chey Tae-Won,崔泰源,3.2,"IT,电信",韩国,127.98,37.66
691,Igor Kesaev,扎拉卡·伊利耶夫,3.2,"烟草分销,零售",俄罗斯,105.32,61.52
691,Alexander Ponomarenko,高德·尼萨洛夫,3.2,"房地产,机场",俄罗斯,105.32,61.52
691,Alexander Skorobogatko,亚历山大·斯库罗波加特科,3.2,"房地产,机场",俄罗斯,105.32,61.52
691,Suhail Bahwan,苏海勒·巴万,3.2,多元化经营,阿曼,55.98,21.47
691,Michal Solowow,米哈·索罗,3.2,投资,波兰,19.15,51.92
691,Antonio Del Valle Ruiz,安东尼奥·德瓦勒·鲁伊斯,3.2,化工,墨西哥,-102.55,23.63
691,Luca Garavoglia,卢卡·加拉沃格利亚,3.2,酒业,意大利,12.57,41.87
691,Maren Otto,马伦·奥托,3.2,"零售,房地产",德国,10.45,51.17
691,Dirk Rossmann,德克·罗斯曼,3.2,药店,德国,10.45,51.17
691,Jean-Pierre Cayard,让·皮埃尔·卡亚尔,3.2,酒业,法国,2.21,46.23
715,Bernard Ecclestone,伯纳德·埃克莱斯顿,3.1,一级方程式,英国,-3.44,55.38
715,Christopher Hohn,克里斯托弗·霍恩,3.1,对冲基金,英国,-3.44,55.38
715,Carl Bennet,卡尔·贝内特,3.1,投资,瑞典,18.64,60.13
715,Richard Chandler,理查德·钱德勒,3.1,投资,新西兰,174.89,-40.9
715,Timur Kulibaev,铁木尔·库利巴耶夫,3.1,银行业,哈萨克斯坦,66.92,48.02
715,Dinara Kulibaeva,迪纳拉·库利巴耶娃,3.1,银行业,哈萨克斯坦,66.92,48.02
715,Gil Shwed,吉尔·舍伍德,3.1,软件,以色列,34.85,31.05
715,Mahendra Choksi,马韩德拉·高格斯,3.1,涂料,印度,78.96,20.59
715,Elisabeth Mohn,伊丽莎白-莫恩,3.1,出版,德国,10.45,51.17
715,Karel Komarek,卡雷尔·科玛列克,3.1,彩票,捷克共和国,15.47,49.82
715,Huang Chulong,黄楚龙,3.1,房地产,加拿大,-106.35,56.13
715,Daryl Katz,达里尔·卡茨,3.1,药店,加拿大,-106.35,56.13
715,Abiliodos Santos Diniz,阿比利奥·多斯桑托斯·迪尼兹,3.1,零售,巴西,-51.93,-14.24
715,Joao Moreira Salles,若奥·莫雷拉·萨勒斯,3.1,"银行业,矿业",巴西,-51.93,-14.24
715,Fernando Roberto Moreira Salles,费尔南多·罗伯托·莫雷拉·萨勒斯,3.1,"银行业,矿业",巴西,-51.93,-14.24
715,Pedro Moreira Salles,佩德罗·莫雷拉·萨勒斯,3.1,"银行业,矿业",巴西,-51.93,-14.24
715,Walther Moreira Salles Jr.,小华尔特·莫雷拉·萨勒斯,3.1,"银行业,矿业",巴西,-51.93,-14.24
715,Kerry Stokes,克里·斯托克斯,3.1,"建筑施工设备,媒体",澳大利亚,133.78,25.27
715,Alejandro Bulgheroni,亚历杭德罗·巴尔格洛尼,3.1,油气,阿根廷,-63.62,-38.42
715,Heidi Horten,海蒂·霍滕,3.1,零售,奥地利,14.55,47.52
715,Clifford Asness,克里福德·阿斯尼斯,3.1,资金管理,美国,45.04,40.07
715,John Catsimatidis,约翰·卡西马蒂斯,3.1,"石油,房地产",美国,45.04,40.07
715,Chase Coleman,切斯·科尔曼,3.1,对冲基金,美国,45.04,40.07
715,Don Hankey,唐·汉基,3.1,汽车贷款,美国,45.04,40.07
715,John Middleton,约翰·米德尔顿,3.1,烟草,美国,45.04,40.07
715,Jean (Gigi) Pritzker,珍·普利兹克,3.1,"酒店,投资",美国,45.04,40.07
715,Donald Trump,唐纳德·特朗普,3.1,"电视,房地产",美国,45.04,40.07
715,Don Vultaggio,唐·瓦尔塔吉欧,3.1,阿利桑那饮料,美国,45.04,40.07
715,Mark Walter,马克·沃尔特,3.1,金融,美国,45.04,40.07
715,Li Sze Lim,李思廉,3.1,房地产,中国香港,114.11,22.4
745,Bob Gaglardi,鲍勃·加戈拉迪,3,酒店,加拿大,-106.35,56.13
745,Andre Esteves,安德列·艾斯泰维斯,3,银行业,巴西,-51.93,-14.24
745,Alberto Roemmers,阿尔贝托·罗耶梅斯,3,制药,阿根廷,-63.62,-38.42
745,Georg Stumpf,格奥尔格·斯坦普夫,3,"房地产,建筑施工",奥地利,14.55,47.52
745,Horst Paulmann,霍斯特·保尔曼,3,零售,智利,-71.54,-35.68
745,Alvaro Saieh Bendeck,阿尔瓦罗·塞耶·本德克,3,银行业,智利,-71.54,-35.68
745,Juan Roig,胡安·罗伊格,3,超市,西班牙,-3.75,40.46
745,Jim Breyer,吉姆·布雷耶,3,创投,美国,45.04,40.07
745,Do Won & Jin Sook Chang,张东文和张金淑夫妇,3,时尚零售,美国,45.04,40.07
745,Leon G. Cooperman,利昂·库珀曼,3,对冲基金,美国,45.04,40.07
745,Jeffery Hildebrand,杰弗里·希尔德布兰德,3,石油,美国,45.04,40.07
745,James Jannard,詹姆斯·简纳德,3,太阳镜,美国,45.04,40.07
745,Joseph Liemandt,约瑟夫·莱曼特,3,软件,美国,45.04,40.07
745,Arturo Moreno,阿图罗·莫雷诺,3,"广告牌,安纳海姆天使",美国,45.04,40.07
745,Marc Rowan,马克·罗恩,3,私募股权,美国,45.04,40.07
745,Michael Rubin,迈克尔·鲁宾,3,在线零售,美国,45.04,40.07
745,Patrick Ryan,帕特里克·赖安,3,保险,美国,45.04,40.07
745,Lynsi Snyder,林希·斯奈德,3,In-N-Out Burger,美国,45.04,40.07
745,David Steward,大卫·斯图尔特,3,IT提供商,美国,45.04,40.07
745,Steve Wynn,史蒂夫·韦恩,3,"博彩,酒店",美国,45.04,40.07
745,Zhou Qunfei,周群飞,3,智能手机屏幕,中国香港,114.11,22.4
745,Pierre Chen,陈泰铭,3,电子,中国台湾,120.96,23.7
745,Rudolf Maag,鲁道夫·马格,3,医疗设备,瑞士,8.23,46.82
745,Hans Peter Wild,汉斯·彼得·维尔德,3,香料,瑞士,8.23,46.82
745,Kwek Leng Beng,郭令明,3,房地产,新加坡,103.82,1.35
745,Gustav Magnar Witzoe,古斯塔夫·马格纳尔·魏佐,3,养鱼业,挪威,8.47,60.47
745,Christoph Zeller,克里斯托弗·泽勒,3,牙种植体,列支敦士登,9.56,47.17
745,Juergen Blickle,尤尔根·布利克勒,3,汽车零部件,德国,10.45,51.17
745,Guenther Lehmann,冈瑟·莱曼,3,药店,德国,10.45,51.17
745,Georg Nemetschek,果尔格·内梅切克,3,软件,德国,10.45,51.17
775,Gayle Benson,盖尔·本生,2.9,职业体育团队,美国,45.04,40.07
775,Timothy Boyle,蒂莫西·博伊尔,2.9,Columbia体育服饰,美国,45.04,40.07
775,Nick Caporella,尼克·卡普莱拉,2.9,饮料,美国,45.04,40.07
775,Edward DeBartolo Jr.,小爱德华·德巴特罗,2.9,购物中心,美国,45.04,40.07
775,Rakesh Gangwal,拉克什·甘瓦尔,2.9,航空公司,美国,45.04,40.07
775,Miguel McKelvey,米格尔·麦克凯尔维,2.9,WeWork,美国,45.04,40.07
775,Thomas Siebel,托马斯·西贝尔,2.9,商业软件,美国,45.04,40.07
775,Charles Simonyi,查尔斯·西蒙尼,2.9,微软,美国,45.04,40.07
775,Mortimer Zuckerman,莫蒂默·朱克曼,2.9,"房地产,媒体",美国,45.04,40.07
775,Cheng Xue,程雪,2.9,酱油,中国内地,104.2,35.86
775,Su Hua,宿华,2.9,视频流媒体,中国内地,104.2,35.86
775,Wang Linpeng,汪林朋,2.9,家具零售,中国内地,104.2,35.86
775,Geoffrey Kwok,郭基俊,2.9,房地产,中国香港,114.11,22.4
775,Tung Chee Chen,董建成,2.9,航运,中国香港,114.11,22.4
775,Luo Jye,罗结,2.9,轮胎,中国台湾,120.96,23.7
775,Tsai Hong-tu,蔡宏图,2.9,金融,中国台湾,120.96,23.7
775,Richard Tsai,蔡明兴,2.9,金融,中国台湾,120.96,23.7
775,Michael Ashley,迈克尔·阿什利,2.9,体育零售,英国,-3.44,55.38
775,Tom Morris,汤姆·莫里斯,2.9,零售,英国,-3.44,55.38
775,Thomas Straumann,托马斯·施特劳曼,2.9,牙种植体,瑞士,8.23,46.82
775,Martin Lorentzon,马丁·罗伦森,2.9,Spotify,瑞典,18.64,60.13
775,Ramon Ang,蔡启文,2.9,多元化经营,菲律宾,121.77,12.88
775,Chandru Raheja,昌德鲁·拉赫贾,2.9,房地产,印度,78.96,20.59
775,Yvonne Bauer,伊冯·鲍尔,2.9,媒体,德国,10.45,51.17
775,Anne Beaufour,安妮·博富尔,2.9,制药,法国,2.21,46.23
775,Henri Beaufour,昂利·博富尔,2.9,制药,法国,2.21,46.23
775,Naguib Sawiris,纳吉布·萨维里斯,$2.90 ,电信,埃及,30.8,26.82
775,Daniel Kretinsky,丹尼尔·克雷钦斯基,2.9,能源,捷克共和国,15.47,49.82
775,Peter Gilgan,彼得·吉尔根,2.9,住宅建造,加拿大,-106.35,56.13
804,Richard Peery,理查德·佩里,2.8,房地产,美国,45.04,40.07
804,J. Joe Ricketts,J.乔·里基茨,2.8,TD Ameritrade,美国,45.04,40.07
804,Haim Saban,哈伊姆·萨班,2.8,"电视网,投资",美国,45.04,40.07
804,Thomas Secunda,托马斯·塞康达,2.8,彭博,美国,45.04,40.07
804,Glen Taylor,格伦·泰勒,2.8,印刷,美国,45.04,40.07
804,William Wrigley,威廉·瑞格利,2.8,口香糖,美国,45.04,40.07
804,Geng Jianming,耿建明,2.8,房地产,中国内地,104.2,35.86
804,Luo Liguo,罗立国,2.8,化工,中国内地,104.2,35.86
804,Tse Ping,谢炳,2.8,制药,中国内地,104.2,35.86
804,Zhang Xuexin,张学信,2.8,铝业,中国内地,104.2,35.86
804,Fong Yun Wah,方润华,2.8,房地产,中国香港,114.11,22.4
804,Tsai Cheng-ta,蔡政达,2.8,金融,中国台湾,120.96,23.7
804,Lim Sung-Ki,权赫彬,2.8,制药,韩国,127.98,37.66
804,Raj Kumar & Kishin RK,拉吉·库玛和吉辛·RK,2.8,房地产,新加坡,103.82,1.35
804,Dmitry Kamenshchik,亚历山大·波诺马连科,2.8,机场,俄罗斯,105.32,61.52
804,Patrizio Bertelli,帕吉欧·贝尔特利,2.8,奢侈品,意大利,12.57,41.87
804,Miuccia Prada,缪西娅·普拉达,2.8,奢侈品,意大利,12.57,41.87
804,Vinod & Anil Rai Gupta,薇诺德·古普塔和阿尼尔·莱伊·古普塔,2.8,电气设备,印度,78.96,20.59
804,Rakesh Jhunjhunwala,拉克什·金君瓦拉,2.8,投资,印度,78.96,20.59
